3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
5,2,2,21,15,9,11,3
4,2,3,18,16,8,10,3
4,2,3,17,15,10,9,3
4,2,3,15,16,9,8,2
2,2,4,16,18,12,4,1
2,1,4,11,17,14,4,0
2,2,4,10,17,13,3,0
1,2,4,6,16,13,2,0
2,2,5,7,12,14,2,1
2,3,5,6,11,16,3,0
2,3,5,10,11,17,4,0
2,3,5,12,9,18,8,1
2,3,6,16,8,20,15,3
3,4,6,17,7,15,19,4
5,4,8,16,6,15,20,9
5,5,16,18,8,14,24,9
9,7,16,19,10,17,31,17
9,7,16,20,10,16,32,22
9,7,24,15,8,13,30,31
10,8,30,15,8,13,26,33
9,10,42,12,13,11,20,32
9,10,43,14,16,13,18,31
8,12,56,15,18,13,18,30
9,11,48,18,19,14,17,31
5,10,54,26,18,12,13,28
5,9,55,28,19,12,16,24
10,9,51,29,24,28,23,31
21,13,47,34,34,40,33,44
22,11,37,34,40,46,43,59
26,15,38,36,39,46,42,71
30,13,26,35,40,48,54,74
41,14,26,31,37,56,53,80
43,21,22,24,44,66,52,87
46,21,20,23,49,65,50,93
44,26,18,26,48,51,48,80
35,21,15,21,44,42,39,65
35,21,14,24,39,34,30,50
32,20,18,22,42,32,29,38
28,20,18,32,47,32,16,33
17,19,22,41,47,28,17,26
16,14,22,42,47,19,16,15
16,15,24,55,45,17,14,8
12,11,25,54,46,16,9,7
15,12,24,57,45,24,9,7
17,11,23,54,42,28,9,10
19,9,17,54,39,30,10,12
19,8,14,45,31,31,9,11
19,7,10,36,29,27,7,10
18,6,7,33,23,26,7,10
16,5,5,22,20,27,6,10
16,5,4,20,16,29,7,8
10,4,5,20,13,19,5,8
7,4,5,18,12,14,5,4
4,4,5,15,12,13,3,1
3,4,6,18,13,17,4,2
3,5,5,18,19,18,7,2
3,5,5,18,19,17,8,1
3,4,6,16,19,18,9,3
3,4,5,16,18,15,10,4
3,4,4,12,22,14,16,5
5,3,3,12,22,14,18,9
6,3,3,13,20,13,21,10
6,3,2,16,20,6,21,9
6,2,9,19,16,9,19,9
6,2,15,18,16,10,18,10
11,2,17,23,17,11,19,15
12,3,17,22,20,13,18,14
14,6,28,24,19,19,20,18
15,6,29,27,19,25,18,16
28,9,44,25,24,41,29,31
37,9,45,28,28,50,33,38
38,13,44,35,38,53,35,47
41,13,40,38,46,63,35,47
40,19,39,34,45,61,37,51
44,18,51,37,48,76,38,62
44,22,46,35,48,71,34,62
42,25,56,42,46,65,35,62
33,25,42,45,43,57,27,48
28,27,52,46,39,62,22,57
30,24,47,35,32,62,24,59
31,27,47,39,23,61,25,64
28,23,56,39,26,64,21,55
24,27,49,40,21,50,20,46
23,24,43,39,21,59,17,41
23,23,33,30,24,59,18,41
18,21,32,25,23,55,12,41
13,20,23,17,22,46,15,28
9,19,22,17,18,40,10,17
6,16,20,11,19,35,9,12
6,15,10,11,16,46,8,11
6,11,5,10,18,56,9,12
9,8,5,11,16,49,10,15
14,7,8,15,19,60,21,27
28,9,8,31,21,68,36,40
34,13,20,30,26,64,42,52
33,14,30,34,27,70,47,58
