1,2,4,1,2,2,3,1,7,7,13,14.7,-21.7,29.6
1,3,7,2,2,4,3,1,7,7,13,16.8,-23.9,30.8
2,6,14,2,3,4,4,1,7,7,13,11.5,-21.3,30.5
4,8,15,3,4,6,4,3,7,7,13,10.9,-22.5,31.4
4,9,21,5,3,6,4,4,7,7,13,9.47,-22.1,31.7
4,12,26,5,4,8,4,6,7,7,13,9.41,-23.6,31.2
4,13,35,5,4,9,8,6,7,7,13,8.52,-23.3,31.1
4,14,36,6,4,9,8,6,7,7,13,8.95,-23.4,30.3
5,13,43,8,3,9,8,5,7,7,13,9.57,-24.3,29.9
5,15,41,8,3,7,7,6,7,7,12,14.8,-25.1,38.3
5,16,39,8,2,6,7,6,7,7,12,26,-24.4,36.8
5,16,40,8,2,5,8,4,7,7,12,4.3,-26.7,40.8
5,15,35,7,2,5,8,3,7,7,12,7.21,-24.7,31.1
5,12,33,8,2,3,9,2,7,7,12,7.7,-25,31
5,15,27,8,2,3,6,1,7,7,12,7.38,-25.3,30.5
6,16,26,9,3,2,6,2,7,7,12,8.11,-24.4,30.1
5,15,23,7,3,3,6,1,6,7,12,7.91,-23.9,28.8
4,15,25,8,3,5,6,2,6,7,12,9.1,-25.5,30.9
4,11,21,12,3,6,7,3,6,7,12,5.47,-25.7,30.9
4,11,19,14,3,6,11,6,6,7,12,6.15,-25.9,30.5
4,12,21,14,3,8,13,6,6,8,12,6.43,-25,31.4
5,12,19,14,3,9,13,8,6,8,12,6.29,-26.2,29.9
5,8,21,14,3,11,13,9,6,8,12,7.11,-26.1,29.7
6,8,22,12,2,12,14,9,6,8,12,7.3,-26.1,29.8
7,9,17,13,2,16,15,9,6,8,12,6.58,-24.9,30.7
7,9,22,11,3,16,14,9,6,8,12,6.78,-24.6,30.7
8,13,26,11,3,17,13,8,6,8,12,6.66,-25.4,30.5
7,13,27,8,3,17,10,4,6,8,13,6.93,-25.1,30.2
7,13,29,7,3,16,8,5,6,8,13,6.95,-25.4,30.4
6,14,28,6,3,15,8,4,6,8,13,6.7,-25,30.5
7,20,23,6,3,14,10,3,6,8,13,6.54,-25.7,30.4
7,24,28,8,3,13,9,3,6,8,13,6.05,-25.2,30.4
6,26,29,7,3,9,8,3,6,8,13,6.6,-25.7,29.9
6,25,22,8,3,8,9,3,6,8,13,7.17,-24.9,30.1
4,26,23,5,2,8,11,2,6,8,13,7.42,-25.7,29.9
4,24,23,5,2,6,9,3,6,8,13,6.52,-25.2,29.8
4,24,23,6,2,7,10,3,6,8,13,6.41,-25.9,29.9
5,27,26,7,2,9,10,4,6,8,13,6.64,-25.4,29.9
3,22,29,7,2,10,7,4,6,8,13,7.05,-25.4,30
3,17,27,5,2,11,10,4,6,8,13,7.27,-25.5,29.7
3,17,26,6,2,12,10,3,6,8,13,7.11,-25.4,29.7
3,18,26,12,2,11,12,3,6,8,13,7.05,-25.4,30.3
3,15,29,17,2,13,15,11,6,8,13,7.25,-26.2,30.7
4,20,33,19,2,13,15,11,6,8,13,4.49,-25.1,30.5
4,23,29,19,2,12,14,11,6,8,13,6.19,-26.3,29.6
3,21,30,20,2,10,13,11,6,8,13,7.17,-23.5,29.7
